,Tipo greedy,Cambio promedio,Valor objetivo,Tiempo,Promedio Economía (P),Promedio Diplomacia (P),Promedio Estado (P),Promedio Sociedad (P),Promedio Género,Promedio Economía (IDL),Promedio Diplomacia (IDL),Promedio Estado (IDL),Promedio Sociedad (IDL)
0,normal,0,30.986419090894174,4.976402997970581,0,0,0,0,0,0,0,0,0
1,normal,0,30.986419090894174,3.247448682785034,0,0,0,0,0,0,0,0,0
2,normal,0,30.986419090894174,4.191952466964722,0,0,0,0,0,0,0,0,0
3,normal,0,30.986419090894174,4.467276096343994,0,0,0,0,0,0,0,0,0
